artists,genres
Aaron Tveit,"['broadway', 'hollywood', 'show tunes']"
Aaron Watson,"['contemporary country', 'country', 'country road', 'modern country rock', 'texas country']"
Aaron Y Su Grupo Ilusion,"['cumbia sonidera', 'regional mexican']"
Aaron Zigman,['soundtrack']
Aarti Mukherji,"['classic bollywood', 'filmi']"
Aase Ziegler,[]
Ab-Soul,"['alternative hip hop', 'conscious hip hop', 'hip hop', 'rap', 'southern hip hop', 'underground hip hop']"
Abandon All Ships,"['canadian metalcore', 'canadian post-hardcore', 'metalcore', 'post-screamo', 'trancecore']"
Abandoned Pools,[]
Abbasuddin Ahmed,[]
Abbey Lincoln,['vocal jazz']
Abby Anderson,"['contemporary country', 'country pop']"
Abby Newton,[]
Abdel Aziz Mahmoud,[]
Abdel Ghany El Sayed,[]
Abdel Halim Hafez,['classic arab pop']
Abdul,"['dance pop', 'europop', 'new wave pop', 'pop rock', 'soft rock', 'urban contemporary']"
Abdul Halim Chowdhry,[]
Abdul Khader,[]
Abdulial Mahi,[]
Abdï¿½ï¿½lk,[]
Abel Zavala,"['latin christian', 'latin worship']"
Abha Sarkar,[]
Abhayapada Chatterjee,[]
Abhi The Nomad,"['desi hip hop', 'vapor soul']"
Abhishek Bachchan,[]
Abhram Bhagat,[]
Abigale Haness,[]
Aboriginal Songman,[]
Above & Beyond,"['edm', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']"
Above The Law,"['g funk', 'gangster rap', 'hip hop', 'hyphy', 'west coast rap', 'west coast trap']"
Abracadabra,"['musica costarricense', 'pop romantico']"
Abraham Goldfaden,[]
Abraham Gustavito,[]
Abram Chasins,[]
Abrasive Wheels,"['oi', 'street punk', 'uk82']"
Absis,[]
Absofacto,"['indie psych-pop', 'shimmer psych']"
Abstract,"['afrofuturism', 'alternative r&b', 'hip hop', 'lgbtq+ hip hop', 'rap']"
Abwï¿½ï¿,"['german punk', 'german rock', 'neue deutsche welle']"
Academia dos Renascidos,[]
Academy Of Choir Art Of Russia,[]
Academy Of London,[]
Academy of Ancient Music,"['baroque ensemble', 'british orchestra', 'choral', 'classical performance', 'historically informed performance']"
Academy of St. Martin in the Fields,"['british orchestra', 'chamber orchestra', 'classical', 'classical performance']"
Academy of St. Martin in the Fields Chorus,[]
Acapulco Tropical,"['cumbia sonidera', 'mexican rock-and-roll', 'musica costena']"
Accademia I Filarmonici,['italian baroque ensemble']
Accept,"['album rock', 'german heavy metal', 'german metal', 'glam metal', 'hard rock', 'metal', 'power metal', 'rock', 'speed metal', 'thrash metal']"
Acceptance,"['christian alternative rock', 'dreamo', 'emo', 'neon pop punk', 'pop emo', 'pop punk', 'screamo']"
Ace,"['dirty south rap', 'gangster rap', 'hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Ace Frehley,"['album rock', 'glam metal', 'hard rock', 'metal', 'rock']"
Ace Hood,"['dirty south rap', 'gangster rap', 'hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Ace Ventura,"['progressive psytrance', 'psychedelic trance']"
Ace of Base,"['bubblegum dance', 'dance pop', 'eurodance', 'europop', 'hip house', 'pop rock']"
Acerina Y Su Danzonera,['mexican rock-and-roll']
Aceyalone,"['abstract hip hop', 'alternative hip hop', 'hip hop', 'turntablism', 'underground rap']"
Achille Togliani,"['canzone napoletana', 'classic italian pop', 'vintage italian pop']"
Acid Bath,"['doom metal', 'louisiana metal', 'sludge metal', 'stoner metal']"
Acid Ghost,['indie garage rock']
Acid King,"['doom metal', 'gaian doom', 'psychedelic doom', 'retro metal', 'sludge metal', 'space rock', 'stoner metal', 'stoner rock']"
Acidic Beats,[]
Acker Bilk,"['adult standards', 'brill building pop', 'easy listening', 'jazz clarinet', 'lounge']"
Acoustic Alchemy,"['british jazz', 'smooth jazz']"
Action Bronson,"['alternative hip hop', 'east coast hip hop', 'hip hop', 'nyc rap', 'queens hip hop', 'rap', 'southern hip hop', 'underground hip hop']"
Active Child,"['chillwave', 'metropopolis', 'shimmer pop', 'vapor soul']"
Ad Brown,[]
Ada Falcï¿½,"['tango', 'tango cancion', 'vintage tango']"
Ada Moore,[]
Adalberto Santiago,"['latin jazz', 'salsa', 'salsa international', 'salsa puertorriquena', 'tropical']"
Adam & The Ants,"['dance rock', 'double drumming', 'new romantic', 'new wave', 'new wave pop', 'post-punk', 'punk', 'ska']"
Adam Ant,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave']"
Adam Calhoun,"['country rap', 'military rap', 'redneck']"
Adam Caroll,[]
Adam Carroll,"['alternative country', 'roots americana', 'roots rock', 'texas country']"
Adam Chanler-Berat,[]
Adam Counts,[]
Adam Gontier,[]
Adam Gussow,['harmonica blues']
Adam Hicks,"['pop', 'post-teen pop']"
Adam Hood,['texas country']
Adam Jensen,"['indie poptimism', 'modern alternative rock', 'rebel blues']"
Adam K & Soha,['canadian electronic']
Adam Lambert,"['dance pop', 'electropop', 'idol', 'pop', 'pop dance', 'post-teen pop']"
Adam Levine,['pop rock']
Adam Melchor,"['indie anthem-folk', 'indie cafe pop', 'indie pop', 'new jersey indie']"
Adam Pascal,"['broadway', 'hollywood', 'show tunes']"
Adam Plack,[]
Adam Riegler,[]
Adam Sandler,"['comedy', 'comic']"
Adamski,[]
Adan Chalino Sanchez,"['banda', 'corrido', 'deep regional mexican', 'norteno', 'regional mexican']"
Adan Romero,"['banda', 'corrido', 'deep regional mexican', 'regional mexican']"
Adelaide Van Wey,['american folk revival']
Adele,"['british soul', 'pop', 'pop soul', 'uk pop']"
Adele Kern,[]
Adelina Fernandes,[]
Adelitas Way,"['alternative metal', 'christian rock', 'gymcore', 'nu metal', 'post-grunge', 'post-screamo', 'rap rock']"
Adema,"['alternative metal', 'industrial metal', 'nu metal', 'post-grunge', 'rap metal', 'rap rock']"
Adeva,[]
Adhir Bagchi,[]
Adiemus,['new age']
Adina Howard,"['hip pop', 'new jack swing', 'r&b', 'urban contemporary']"
Adinath Mangeshkar,[]
Admiral Bailey,"['deep ragga', 'lovers rock', 'old school dancehall', 'roots reggae']"
Adnia Rice,[]
Adolescent's Orquesta,"['latin', 'salsa', 'salsa venezolana', 'tropical']"
Adolescents,"['latin', 'salsa', 'salsa venezolana', 'tropical']"
Adolf Busch,[]
Adolf Stark and Aino Karelia,[]
Adolfo Berï¿½,['guitarra argentina']
Adolfo Echeverria,[]
Adolfo Tango,[]
Adolph Baller,[]
Adolph Deutsch,['classic soundtrack']
Adolph Green,[]
Adolphe Adam,"['early romantic era', 'french opera', 'french romanticism']"
Adolphe Bï¿½ï¿½,[]
Adolphus Hailstork,"['african-american classical', 'american contemporary classical']"
Adrenalize,"['classic hardstyle', 'euphoric hardstyle', 'hardstyle', 'rawstyle']"
Adrian Charras,[]
Adrian Crush,[]
Adrian Delgado,[]
Adrian Gurvitz,['yacht rock']
Adrian Marcel,['pop r&b']
Adrian Zmed,[]
Adriana Calcanhotto,"['bossa nova', 'mpb', 'nova mpb']"
Adriana Caselotti,['movie tunes']
Adriana Chamorro,[]
Adriana Figueroa,['otacore']
Adriana Lazzarini,['italian mezzo-soprano']
Adriana Proenza,['spanish indie pop']
Adriana Szuster,['musica para ninos']
Adrianna Caselotti,[]
Adrianne Lenker,"['art pop', 'chamber pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'small room', 'stomp and holler']"
Adrianne Pieczonka,['classical soprano']
Adriano Banchieri,"['early music', 'madrigal', 'renaissance']"
Adriano Celentano,"['classic italian pop', 'italian adult pop']"
